"date","plan","mrr"
2017-03-22,"respond",8973.585
2017-03-22,"business",562764.8218
2017-03-22,"awesome",579632.3
2017-03-21,"business",562147.1554
2017-03-21,"respond",8973.585
2017-03-21,"awesome",580043.44
2017-03-20,"business",560607.2388
2017-03-20,"awesome",579201.1
2017-03-20,"respond",8894.585
2017-03-19,"awesome",579092.56
2017-03-19,"respond",8953.585
2017-03-19,"business",560538.2388
2017-03-18,"respond",8953.585
2017-03-18,"awesome",579026.32
2017-03-18,"business",561287.0722
2017-03-17,"respond",8775.585
2017-03-17,"business",561172.2389
2017-03-17,"awesome",578571.83
2017-03-16,"awesome",577400.69
2017-03-16,"respond",8775.585
2017-03-16,"business",561404.7489
2017-03-15,"awesome",576316.42
2017-03-15,"business",560467.5925
2017-03-15,"respond",8775.585
2017-03-14,"awesome",575630.93
2017-03-14,"business",559284.676
2017-03-14,"respond",8874.585
2017-03-13,"respond",8775.585
2017-03-13,"awesome",574360.44
2017-03-13,"business",558672.176
2017-03-12,"respond",8775.585
2017-03-12,"awesome",574530.84
2017-03-12,"business",558339.4161
2017-03-11,"respond",8775.585
2017-03-11,"business",557372.7395
2017-03-11,"awesome",574609.25
2017-03-10,"awesome",573923.93
2017-03-10,"business",555910.1564
2017-03-10,"respond",8775.585
2017-03-09,"respond",8775.585
2017-03-09,"awesome",573649.59
2017-03-09,"business",553230.6867
2017-03-08,"business",550170.1969
2017-03-08,"awesome",572381.53
2017-03-08,"respond",8756.585
2017-03-07,"respond",8756.585
2017-03-07,"business",549595.8102
2017-03-07,"awesome",571756.57
2017-03-06,"awesome",570791.13
2017-03-06,"respond",8756.585
2017-03-06,"business",549458.4771
2017-03-05,"respond",8806.575
2017-03-05,"business",549281.5071
2017-03-05,"awesome",570565.31
2017-03-04,"respond",8806.575
2017-03-04,"business",549658.1737
2017-03-04,"awesome",570526.71
2017-03-03,"awesome",569750.18
2017-03-03,"respond",8815.575
2017-03-03,"business",548609.6739
2017-03-02,"awesome",568999.65
2017-03-02,"respond",8756.575
2017-03-02,"business",546858.6008
2017-03-01,"respond",8756.575
2017-03-01,"awesome",568087.8
2017-03-01,"business",545674.601
2017-02-28,"respond",8775.575
2017-02-28,"business",549246.0912
2017-02-28,"awesome",570231.06
2017-02-27,"awesome",569685.69
2017-02-27,"respond",8834.575
2017-02-27,"business",547795.4048
2017-02-26,"business",548314.9048
2017-02-26,"respond",8825.575
2017-02-26,"awesome",570000.5
2017-02-25,"business",548736.3948
2017-02-25,"awesome",570358.56
2017-02-25,"respond",8476.575
2017-02-24,"respond",8476.575
2017-02-24,"awesome",569904.49
2017-02-24,"business",548106.5616
2017-02-23,"business",547242.895
2017-02-23,"awesome",569340.07
2017-02-23,"respond",8476.575
2017-02-22,"respond",8476.575
2017-02-22,"business",545995.3852
2017-02-22,"awesome",569211.21
2017-02-21,"awesome",568275.83
2017-02-21,"respond",8476.575
2017-02-21,"business",545500.302
2017-02-20,"respond",8515.575
2017-02-20,"business",543542.3955
2017-02-20,"awesome",567512.58
2017-02-19,"respond",8366.575
2017-02-19,"awesome",567212.25
2017-02-19,"business",543874.7389
2017-02-18,"business",544444.2389
2017-02-18,"awesome",567569.4
